timestamp,S↦S,Spike,K↦S,S↦K,Spike_deg,K↦Spike,K,S,S↦G,K_deg,S_deg,K↦K,G_deg,K_inact,K↦G,K↦K_inact,S↦S_inact,G,S_inact,S↦K_inact,S↦Spike,K↦S_inact
18.0,0.19590146334088893,48325.76710299525,0.000178824918511107,0.015327598934659412,9433.610202602656,1009.0691528143202,5.415881542819772,15388.70878138309,1118.2867501960243,31971.640705110516,69.4436557803972,5.57768921151125,26068.828298388504,9.249204773844613e-9,2.7032687796380177,2.1247855505978406e-8,0.0460661915693011,686810.1816826699,9191.507722753831,2.617639458557463e-11,7231.55354156042,0.00010687781305397916
19.0,0.1899604101389313,47987.071189410075,0.00013093276812491925,0.011222373229622978,9931.371010714807,1007.5322045963604,4.02680154335599,15153.562758915281,1099.9039748351677,31979.59971301758,72.75975851654563,3.423149066655337,26836.792217239115,6.7919430388930974e-9,1.9835463973218406,1.5252224675817646e-8,0.04737480002264035,686061.3202615307,9599.261805742899,1.8928625907969344e-11,7074.025595257274,8.297970481437344e-5
20.0,0.18418588607552727,47656.41341040491,0.00010057024242867599,0.008619756006972156,10418.311337405396,1005.8616408174917,3.141124888556561,14921.47143705533,1081.8643842919396,31985.263401437274,76.06166361202347,2.1007448559414703,27590.473237676368,5.1735201731599295e-9,1.5235553669536932,1.0945402412804313e-8,0.04860054484887525,685326.1388227347,10000.714543049511,1.4196957807031984e-11,6919.413611381653,6.743468144778057e-5
21.0,0.17856976549347137,47333.37009757662,8.13826931267202e-5,0.00697503330101112,10894.640151467042,1004.107994715954,2.581501288280767,14692.230200789936,1064.1281737248926,31989.493178889275,79.34825220369022,1.2890783579297873,28330.74652051303,4.1220841027174115e-9,1.2320543516965883,7.852673717579389e-9,0.04974548571386602,684603.8932514198,10395.947872579312,1.1137502516821848e-11,6767.881756242315,5.76099073027452e-5
22.0,0.17310577466314345,47017.608450065636,6.928666708362825e-5,0.005938180988684596,11360.573725250784,1002.303451281377,2.232166696796932,14465.706053785061,1046.6685409748793,31992.826069222425,82.61841864840125,0.7914694861869105,29058.23000031846,3.4507615818733827e-9,1.0493146833802645,5.63333646685052e-9,0.050811900379371604,683894.0521440279,10785.038718638543,9.179896437058644e-12,6619.51437339879,5.167438711716287e-5
23.0,0.1677886480793589,46708.8553457334,6.166051217199965e-5,0.005284479475084784,11816.332486701516,1000.4685873309935,2.0176556555942926,14241.812465042654,1029.4671935270155,31995.598828797167,85.87108005401264,0.48660476988661006,29773.37735464479,3.032168822916164e-9,0.936324173275121,4.041399740686716e-9,0.05180232927964238,683196.2191276683,11168.061104664446,7.94153331778761e-12,6474.343580206342,4.8363923620233434e-5
24.0,0.16261412979464712,46406.878918748924,5.684020206002618e-5,0.004871291394524485,12262.137941400337,998.6164808740298,1.88924575971294,14020.493801812989,1012.5115765577145,31998.021629395098,89.105187469606,0.2999007112794281,30476.534594107972,2.780733717848678e-9,0.8678676082990711,2.8997853499824474e-9,0.052719232692715376,682510.0859617051,11545.08713338872,7.169867915193701e-12,6332.3666590112625,4.681230167529863e-5
25.0,0.15757865763090587,46111.47621980622,5.377627403764554e-5,0.004608658058189968,12698.210551565357,996.7554109935483,1.8157064705601105,13801.71485085949,995.792980358828,32000.225198686196,92.3197334320606,0.1856008960370417,31167.97769392842,2.639606212479791e-9,0.8277731926105284,2.0812734195331985e-9,0.053564987448100024,681835.4015525,11916.187621510993,6.699852788570379e-12,6193.557817648884,4.6434288529003115e-5
26.0,0.15267910286775857,45822.464742845834,5.180917707121396e-5,0.0044400436091551945,13124.768552534508,994.8906112972362,1.7771044118515238,13585.453728851699,979.3052522645592,32002.290735384213,95.5137556379937,0.1156463572401242,31847.93749540485,2.571291741515144e-9,0.8057175070552778,1.4944927398437585e-9,0.05434191979633167,681171.9515348303,12281.432589127657,6.424285636603979e-12,6057.876093338655,4.683841088747137e-5
27.0,0.1479125966833513,45539.67667492704,5.0525670362667376e-5,0.004330025716859088,13542.027303850595,993.025387895401,1.7607596105107206,13371.69711482848,963.0439334734662,32004.268606694448,98.68633855157607,0.07284134014764237,32516.615863466224,2.551202133770685e-9,0.7951348099217082,1.073839932873551e-9,0.05505232729904392,680519.5450682369,12640.8916216237,6.2738792003723055e-12,5925.270633333619,4.776467366975826e-5
